world_size=1  device=cuda:0  dtype=torch.bfloat16
model: 353.55M non-emb params  [liger fused-CE]
iter    680 | loss 5.3701 | lr 2.90e-04 | 3009 ms | 10.9k tok/s
iter    690 | loss 5.3736 | lr 2.89e-04 | 3006 ms | 10.9k tok/s
iter    700 | loss 5.4503 | lr 2.89e-04 | 3004 ms | 10.9k tok/s
iter    710 | loss 5.3435 | lr 2.88e-04 | 3006 ms | 10.9k tok/s
iter    720 | loss 5.4355 | lr 2.88e-04 | 3005 ms | 10.9k tok/s
iter    730 | loss 5.4188 | lr 2.87e-04 | 3005 ms | 10.9k tok/s
iter    740 | loss 5.3512 | lr 2.87e-04 | 3005 ms | 10.9k tok/s
iter    750 | loss 5.3494 | lr 2.86e-04 | 3003 ms | 10.9k tok/s
iter    760 | loss 5.3607 | lr 2.86e-04 | 3005 ms | 10.9k tok/s
iter    770 | loss 5.3246 | lr 2.85e-04 | 3003 ms | 10.9k tok/s
iter    780 | loss 5.3655 | lr 2.85e-04 | 3003 ms | 10.9k tok/s
iter    790 | loss 5.3094 | lr 2.84e-04 | 3003 ms | 10.9k tok/s
done -> out/gpt2_350m_fweb_5060ti_fusedce/ckpt.pt  best val 5.6330 -> out/gpt2_350m_fweb_5060ti_fusedce/ckpt_best.pt
[vram] peak_alloc=10116 MiB  peak_reserved=10150 MiB
