world_size=1  device=cuda:0  dtype=torch.bfloat16
model: 353.55M non-emb params
iter    680 | loss 5.3629 | lr 2.90e-04 | 2203 ms | 14.9k tok/s
iter    690 | loss 5.3678 | lr 2.89e-04 | 2203 ms | 14.9k tok/s
iter    700 | loss 5.4477 | lr 2.89e-04 | 2203 ms | 14.9k tok/s
iter    710 | loss 5.3460 | lr 2.88e-04 | 2203 ms | 14.9k tok/s
iter    720 | loss 5.4338 | lr 2.88e-04 | 2203 ms | 14.9k tok/s
iter    730 | loss 5.4128 | lr 2.87e-04 | 2203 ms | 14.9k tok/s
iter    740 | loss 5.3515 | lr 2.87e-04 | 2203 ms | 14.9k tok/s
iter    750 | loss 5.3420 | lr 2.86e-04 | 2203 ms | 14.9k tok/s
iter    760 | loss 5.3595 | lr 2.86e-04 | 2203 ms | 14.9k tok/s
iter    770 | loss 5.3290 | lr 2.85e-04 | 2203 ms | 14.9k tok/s
iter    780 | loss 5.3634 | lr 2.85e-04 | 2203 ms | 14.9k tok/s
iter    790 | loss 5.3104 | lr 2.84e-04 | 2203 ms | 14.9k tok/s
iter    800 | loss 5.2426 | lr 2.84e-04 | 2203 ms | 14.9k tok/s
           eval | val 5.3711 | ppl 215.10
           best val 5.3711 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter    810 | loss 5.2567 | lr 2.83e-04 | 4389 ms | 7.5k tok/s
iter    820 | loss 5.2925 | lr 2.83e-04 | 2202 ms | 14.9k tok/s
iter    830 | loss 5.2967 | lr 2.82e-04 | 2205 ms | 14.9k tok/s
iter    840 | loss 5.3384 | lr 2.82e-04 | 2205 ms | 14.9k tok/s
iter    850 | loss 5.2693 | lr 2.81e-04 | 2205 ms | 14.9k tok/s
iter    860 | loss 5.1460 | lr 2.80e-04 | 2205 ms | 14.9k tok/s
iter    870 | loss 5.1646 | lr 2.80e-04 | 2205 ms | 14.9k tok/s
iter    880 | loss 5.1934 | lr 2.79e-04 | 2204 ms | 14.9k tok/s
iter    890 | loss 5.2358 | lr 2.79e-04 | 2204 ms | 14.9k tok/s
iter    900 | loss 5.1065 | lr 2.78e-04 | 2204 ms | 14.9k tok/s
iter    910 | loss 5.0914 | lr 2.77e-04 | 2204 ms | 14.9k tok/s
iter    920 | loss 5.0961 | lr 2.77e-04 | 2204 ms | 14.9k tok/s
iter    930 | loss 5.0824 | lr 2.76e-04 | 2204 ms | 14.9k tok/s
iter    940 | loss 5.1979 | lr 2.76e-04 | 2203 ms | 14.9k tok/s
iter    950 | loss 5.0853 | lr 2.75e-04 | 2204 ms | 14.9k tok/s
iter    960 | loss 5.1127 | lr 2.74e-04 | 2204 ms | 14.9k tok/s
iter    970 | loss 5.0718 | lr 2.74e-04 | 2204 ms | 14.9k tok/s
iter    980 | loss 5.2076 | lr 2.73e-04 | 2204 ms | 14.9k tok/s
iter    990 | loss 5.0703 | lr 2.72e-04 | 2204 ms | 14.9k tok/s
iter   1000 | loss 5.0141 | lr 2.72e-04 | 2204 ms | 14.9k tok/s
           eval | val 5.1521 | ppl 172.80
           best val 5.1521 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
           saved ckpt -> out/gpt2_350m_fweb_5060ti/ckpt.pt
iter   1010 | loss 5.1160 | lr 2.71e-04 | 5723 ms | 5.7k tok/s
iter   1020 | loss 4.9983 | lr 2.70e-04 | 2200 ms | 14.9k tok/s
iter   1030 | loss 5.0737 | lr 2.69e-04 | 2204 ms | 14.9k tok/s
iter   1040 | loss 5.0780 | lr 2.69e-04 | 2205 ms | 14.9k tok/s
iter   1050 | loss 4.9891 | lr 2.68e-04 | 2204 ms | 14.9k tok/s
iter   1060 | loss 4.9920 | lr 2.67e-04 | 2204 ms | 14.9k tok/s
iter   1070 | loss 5.0698 | lr 2.67e-04 | 2204 ms | 14.9k tok/s
iter   1080 | loss 4.9774 | lr 2.66e-04 | 2204 ms | 14.9k tok/s
iter   1090 | loss 5.0457 | lr 2.65e-04 | 2204 ms | 14.9k tok/s
iter   1100 | loss 5.0406 | lr 2.64e-04 | 2203 ms | 14.9k tok/s
iter   1110 | loss 4.9354 | lr 2.64e-04 | 2203 ms | 14.9k tok/s
iter   1120 | loss 4.9564 | lr 2.63e-04 | 2204 ms | 14.9k tok/s
iter   1130 | loss 4.9397 | lr 2.62e-04 | 2203 ms | 14.9k tok/s
iter   1140 | loss 5.0293 | lr 2.61e-04 | 2203 ms | 14.9k tok/s
iter   1150 | loss 4.7926 | lr 2.60e-04 | 2204 ms | 14.9k tok/s
iter   1160 | loss 4.9399 | lr 2.60e-04 | 2203 ms | 14.9k tok/s
iter   1170 | loss 4.9181 | lr 2.59e-04 | 2203 ms | 14.9k tok/s
iter   1180 | loss 4.7463 | lr 2.58e-04 | 2203 ms | 14.9k tok/s
iter   1190 | loss 4.8652 | lr 2.57e-04 | 2203 ms | 14.9k tok/s
iter   1200 | loss 4.8409 | lr 2.56e-04 | 2203 ms | 14.9k tok/s
           eval | val 4.9017 | ppl 134.52
           best val 4.9017 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   1210 | loss 4.8610 | lr 2.56e-04 | 4517 ms | 7.3k tok/s
iter   1220 | loss 4.8244 | lr 2.55e-04 | 2202 ms | 14.9k tok/s
iter   1230 | loss 4.8278 | lr 2.54e-04 | 2204 ms | 14.9k tok/s
iter   1240 | loss 4.7180 | lr 2.53e-04 | 2205 ms | 14.9k tok/s
iter   1250 | loss 4.8899 | lr 2.52e-04 | 2204 ms | 14.9k tok/s
iter   1260 | loss 4.7245 | lr 2.51e-04 | 2204 ms | 14.9k tok/s
iter   1270 | loss 4.7298 | lr 2.51e-04 | 2205 ms | 14.9k tok/s
iter   1280 | loss 4.7340 | lr 2.50e-04 | 2204 ms | 14.9k tok/s
iter   1290 | loss 4.7181 | lr 2.49e-04 | 2204 ms | 14.9k tok/s
iter   1300 | loss 4.7183 | lr 2.48e-04 | 2204 ms | 14.9k tok/s
iter   1310 | loss 4.7873 | lr 2.47e-04 | 2204 ms | 14.9k tok/s
iter   1320 | loss 4.7029 | lr 2.46e-04 | 2204 ms | 14.9k tok/s
iter   1330 | loss 4.7994 | lr 2.45e-04 | 2204 ms | 14.9k tok/s
iter   1340 | loss 4.8073 | lr 2.44e-04 | 2204 ms | 14.9k tok/s
iter   1350 | loss 4.7852 | lr 2.43e-04 | 2204 ms | 14.9k tok/s
iter   1360 | loss 4.7702 | lr 2.43e-04 | 2204 ms | 14.9k tok/s
iter   1370 | loss 4.6391 | lr 2.42e-04 | 2204 ms | 14.9k tok/s
iter   1380 | loss 4.6786 | lr 2.41e-04 | 2203 ms | 14.9k tok/s
iter   1390 | loss 4.8316 | lr 2.40e-04 | 2204 ms | 14.9k tok/s
iter   1400 | loss 4.7110 | lr 2.39e-04 | 2204 ms | 14.9k tok/s
           eval | val 4.6880 | ppl 108.63
           best val 4.6880 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   1410 | loss 4.7943 | lr 2.38e-04 | 3945 ms | 8.3k tok/s
iter   1420 | loss 4.7200 | lr 2.37e-04 | 2204 ms | 14.9k tok/s
iter   1430 | loss 4.6005 | lr 2.36e-04 | 2205 ms | 14.9k tok/s
iter   1440 | loss 4.6723 | lr 2.35e-04 | 2205 ms | 14.9k tok/s
iter   1450 | loss 4.7184 | lr 2.34e-04 | 2205 ms | 14.9k tok/s
iter   1460 | loss 4.6596 | lr 2.33e-04 | 2205 ms | 14.9k tok/s
iter   1470 | loss 4.7329 | lr 2.32e-04 | 2204 ms | 14.9k tok/s
iter   1480 | loss 4.5888 | lr 2.31e-04 | 2204 ms | 14.9k tok/s
iter   1490 | loss 4.6147 | lr 2.30e-04 | 2204 ms | 14.9k tok/s
iter   1500 | loss 4.5637 | lr 2.29e-04 | 2204 ms | 14.9k tok/s
           saved ckpt -> out/gpt2_350m_fweb_5060ti/ckpt.pt
iter   1510 | loss 4.5888 | lr 2.28e-04 | 3884 ms | 8.4k tok/s
iter   1520 | loss 4.5732 | lr 2.27e-04 | 2203 ms | 14.9k tok/s
iter   1530 | loss 4.5729 | lr 2.26e-04 | 2204 ms | 14.9k tok/s
iter   1540 | loss 4.6465 | lr 2.25e-04 | 2204 ms | 14.9k tok/s
iter   1550 | loss 4.5534 | lr 2.24e-04 | 2204 ms | 14.9k tok/s
iter   1560 | loss 4.5678 | lr 2.23e-04 | 2204 ms | 14.9k tok/s
iter   1570 | loss 4.6692 | lr 2.22e-04 | 2204 ms | 14.9k tok/s
iter   1580 | loss 4.5714 | lr 2.21e-04 | 2204 ms | 14.9k tok/s
iter   1590 | loss 4.6633 | lr 2.20e-04 | 2203 ms | 14.9k tok/s
iter   1600 | loss 4.4379 | lr 2.19e-04 | 2203 ms | 14.9k tok/s
           eval | val 4.6239 | ppl 101.89
           best val 4.6239 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   1610 | loss 4.5361 | lr 2.18e-04 | 4296 ms | 7.6k tok/s
iter   1620 | loss 4.6650 | lr 2.17e-04 | 2202 ms | 14.9k tok/s
iter   1630 | loss 4.4845 | lr 2.16e-04 | 2204 ms | 14.9k tok/s
iter   1640 | loss 4.4935 | lr 2.15e-04 | 2204 ms | 14.9k tok/s
iter   1650 | loss 4.6581 | lr 2.14e-04 | 2204 ms | 14.9k tok/s
iter   1660 | loss 4.5697 | lr 2.13e-04 | 2204 ms | 14.9k tok/s
iter   1670 | loss 4.5907 | lr 2.12e-04 | 2203 ms | 14.9k tok/s
iter   1680 | loss 4.4691 | lr 2.11e-04 | 2204 ms | 14.9k tok/s
iter   1690 | loss 4.4106 | lr 2.10e-04 | 2203 ms | 14.9k tok/s
iter   1700 | loss 4.5026 | lr 2.09e-04 | 2203 ms | 14.9k tok/s
iter   1710 | loss 4.4676 | lr 2.08e-04 | 2203 ms | 14.9k tok/s
iter   1720 | loss 4.4892 | lr 2.07e-04 | 2203 ms | 14.9k tok/s
iter   1730 | loss 4.5708 | lr 2.06e-04 | 2203 ms | 14.9k tok/s
iter   1740 | loss 4.5341 | lr 2.05e-04 | 2204 ms | 14.9k tok/s
iter   1750 | loss 4.4509 | lr 2.04e-04 | 2203 ms | 14.9k tok/s
iter   1760 | loss 4.5181 | lr 2.02e-04 | 2203 ms | 14.9k tok/s
iter   1770 | loss 4.4162 | lr 2.01e-04 | 2203 ms | 14.9k tok/s
iter   1780 | loss 4.4733 | lr 2.00e-04 | 2203 ms | 14.9k tok/s
iter   1790 | loss 4.5665 | lr 1.99e-04 | 2204 ms | 14.9k tok/s
iter   1800 | loss 4.4780 | lr 1.98e-04 | 2204 ms | 14.9k tok/s
           eval | val 4.4689 | ppl 87.26
           best val 4.4689 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   1810 | loss 4.4258 | lr 1.97e-04 | 4115 ms | 8.0k tok/s
iter   1820 | loss 4.4020 | lr 1.96e-04 | 2203 ms | 14.9k tok/s
iter   1830 | loss 4.4499 | lr 1.95e-04 | 2205 ms | 14.9k tok/s
iter   1840 | loss 4.6148 | lr 1.94e-04 | 2205 ms | 14.9k tok/s
iter   1850 | loss 4.5768 | lr 1.93e-04 | 2205 ms | 14.9k tok/s
iter   1860 | loss 4.3833 | lr 1.92e-04 | 2205 ms | 14.9k tok/s
iter   1870 | loss 4.4332 | lr 1.91e-04 | 2204 ms | 14.9k tok/s
iter   1880 | loss 4.2987 | lr 1.89e-04 | 2204 ms | 14.9k tok/s
iter   1890 | loss 4.4257 | lr 1.88e-04 | 2204 ms | 14.9k tok/s
iter   1900 | loss 4.3839 | lr 1.87e-04 | 2204 ms | 14.9k tok/s
iter   1910 | loss 4.3580 | lr 1.86e-04 | 2204 ms | 14.9k tok/s
iter   1920 | loss 4.4016 | lr 1.85e-04 | 2204 ms | 14.9k tok/s
iter   1930 | loss 4.3607 | lr 1.84e-04 | 2204 ms | 14.9k tok/s
iter   1940 | loss 4.3789 | lr 1.83e-04 | 2204 ms | 14.9k tok/s
iter   1950 | loss 4.3026 | lr 1.82e-04 | 2204 ms | 14.9k tok/s
iter   1960 | loss 4.4818 | lr 1.81e-04 | 2204 ms | 14.9k tok/s
iter   1970 | loss 4.3207 | lr 1.79e-04 | 2204 ms | 14.9k tok/s
iter   1980 | loss 4.2703 | lr 1.78e-04 | 2205 ms | 14.9k tok/s
iter   1990 | loss 4.3362 | lr 1.77e-04 | 2204 ms | 14.9k tok/s
iter   2000 | loss 4.3735 | lr 1.76e-04 | 2204 ms | 14.9k tok/s
           eval | val 4.4508 | ppl 85.70
           best val 4.4508 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
           saved ckpt -> out/gpt2_350m_fweb_5060ti/ckpt.pt
iter   2010 | loss 4.3909 | lr 1.75e-04 | 5896 ms | 5.6k tok/s
iter   2020 | loss 4.4569 | lr 1.74e-04 | 2200 ms | 14.9k tok/s
iter   2030 | loss 4.3824 | lr 1.73e-04 | 2204 ms | 14.9k tok/s
iter   2040 | loss 4.4123 | lr 1.72e-04 | 2204 ms | 14.9k tok/s
iter   2050 | loss 4.3349 | lr 1.71e-04 | 2204 ms | 14.9k tok/s
iter   2060 | loss 4.2587 | lr 1.69e-04 | 2204 ms | 14.9k tok/s
iter   2070 | loss 4.3436 | lr 1.68e-04 | 2204 ms | 14.9k tok/s
iter   2080 | loss 4.1733 | lr 1.67e-04 | 2204 ms | 14.9k tok/s
iter   2090 | loss 4.4087 | lr 1.66e-04 | 2204 ms | 14.9k tok/s
iter   2100 | loss 4.2160 | lr 1.65e-04 | 2203 ms | 14.9k tok/s
iter   2110 | loss 4.3622 | lr 1.64e-04 | 2204 ms | 14.9k tok/s
iter   2120 | loss 4.2727 | lr 1.63e-04 | 2204 ms | 14.9k tok/s
iter   2130 | loss 4.2859 | lr 1.62e-04 | 2203 ms | 14.9k tok/s
iter   2140 | loss 4.2698 | lr 1.61e-04 | 2204 ms | 14.9k tok/s
iter   2150 | loss 4.2961 | lr 1.59e-04 | 2204 ms | 14.9k tok/s
iter   2160 | loss 4.1758 | lr 1.58e-04 | 2203 ms | 14.9k tok/s
iter   2170 | loss 4.2314 | lr 1.57e-04 | 2204 ms | 14.9k tok/s
iter   2180 | loss 4.2433 | lr 1.56e-04 | 2203 ms | 14.9k tok/s
iter   2190 | loss 4.3036 | lr 1.55e-04 | 2203 ms | 14.9k tok/s
iter   2200 | loss 4.2166 | lr 1.54e-04 | 2203 ms | 14.9k tok/s
           eval | val 4.3368 | ppl 76.46
           best val 4.3368 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   2210 | loss 4.2666 | lr 1.53e-04 | 4130 ms | 7.9k tok/s
iter   2220 | loss 4.2876 | lr 1.52e-04 | 2203 ms | 14.9k tok/s
