model: 10.65M params (10.62M non-emb)
iter    670 | loss 0.9391 | lr 5.82e-04 | 84.9 ms/it | 192.9k tok/s
iter    680 | loss 0.9584 | lr 5.82e-04 | 84.9 ms/it | 193.0k tok/s
iter    690 | loss 0.9183 | lr 5.81e-04 | 85.0 ms/it | 192.7k tok/s
iter    700 | loss 0.9006 | lr 5.80e-04 | 84.9 ms/it | 192.9k tok/s
iter    710 | loss 0.9283 | lr 5.80e-04 | 84.9 ms/it | 193.0k tok/s
iter    720 | loss 0.8583 | lr 5.79e-04 | 85.0 ms/it | 192.7k tok/s
iter    730 | loss 0.8956 | lr 5.78e-04 | 84.9 ms/it | 192.9k tok/s
iter    740 | loss 0.8748 | lr 5.78e-04 | 84.9 ms/it | 193.0k tok/s
iter    750 | loss 0.8511 | lr 5.77e-04 | 84.9 ms/it | 193.0k tok/s
           eval | train 0.8599 | val 1.7096
iter    760 | loss 0.8751 | lr 5.76e-04 | 352.6 ms/it | 46.5k tok/s
iter    770 | loss 0.8528 | lr 5.75e-04 | 84.9 ms/it | 192.9k tok/s
iter    780 | loss 0.8602 | lr 5.75e-04 | 85.0 ms/it | 192.9k tok/s
iter    790 | loss 0.8046 | lr 5.74e-04 | 84.9 ms/it | 192.9k tok/s
iter    800 | loss 0.8331 | lr 5.73e-04 | 85.1 ms/it | 192.6k tok/s
iter    810 | loss 0.7684 | lr 5.73e-04 | 85.0 ms/it | 192.9k tok/s
iter    820 | loss 0.8082 | lr 5.72e-04 | 85.0 ms/it | 192.8k tok/s
iter    830 | loss 0.7784 | lr 5.71e-04 | 84.9 ms/it | 192.9k tok/s
iter    840 | loss 0.7536 | lr 5.70e-04 | 85.0 ms/it | 192.9k tok/s
iter    850 | loss 0.7400 | lr 5.69e-04 | 85.0 ms/it | 192.8k tok/s
iter    860 | loss 0.7380 | lr 5.69e-04 | 84.9 ms/it | 192.9k tok/s
iter    870 | loss 0.6838 | lr 5.68e-04 | 84.9 ms/it | 192.9k tok/s
iter    880 | loss 0.6649 | lr 5.67e-04 | 85.0 ms/it | 192.9k tok/s
iter    890 | loss 0.7056 | lr 5.66e-04 | 85.0 ms/it | 192.8k tok/s
iter    900 | loss 0.6779 | lr 5.65e-04 | 84.9 ms/it | 192.9k tok/s
iter    910 | loss 0.6667 | lr 5.64e-04 | 85.0 ms/it | 192.8k tok/s
iter    920 | loss 0.6889 | lr 5.64e-04 | 85.2 ms/it | 192.3k tok/s
iter    930 | loss 0.6704 | lr 5.63e-04 | 85.2 ms/it | 192.3k tok/s
iter    940 | loss 0.6434 | lr 5.62e-04 | 85.2 ms/it | 192.4k tok/s
iter    950 | loss 0.6257 | lr 5.61e-04 | 85.2 ms/it | 192.4k tok/s
iter    960 | loss 0.5995 | lr 5.60e-04 | 85.2 ms/it | 192.2k tok/s
iter    970 | loss 0.6288 | lr 5.59e-04 | 85.2 ms/it | 192.4k tok/s
iter    980 | loss 0.6336 | lr 5.58e-04 | 85.2 ms/it | 192.4k tok/s
iter    990 | loss 0.5466 | lr 5.57e-04 | 85.2 ms/it | 192.3k tok/s
iter   1000 | loss 0.5692 | lr 5.56e-04 | 85.2 ms/it | 192.3k tok/s
           eval | train 0.5773 | val 2.0497
           saved ckpt -> out/tiny/ckpt.pt
iter   1010 | loss 0.5583 | lr 5.55e-04 | 359.0 ms/it | 45.6k tok/s
