[init] rank=0/1 device=cuda:0 dtype=torch.float32
[mesh] dp=1 tp=1 pp=1
[model] 0.42B params
step     335 | loss 6.1007 | lr 2.97e-04 | 17562 ms | 0.00M tok/s
step     340 | loss 5.9416 | lr 2.97e-04 | 17546 ms | 0.00M tok/s
step     345 | loss 5.8740 | lr 2.97e-04 | 17567 ms | 0.00M tok/s
step     350 | loss 5.9082 | lr 2.97e-04 | 17524 ms | 0.00M tok/s
step     355 | loss 5.8185 | lr 2.97e-04 | 17535 ms | 0.00M tok/s
step     360 | loss 6.0111 | lr 2.96e-04 | 17536 ms | 0.00M tok/s
step     365 | loss 5.8681 | lr 2.96e-04 | 17557 ms | 0.00M tok/s
step     370 | loss 5.7003 | lr 2.96e-04 | 17541 ms | 0.00M tok/s
step     375 | loss 5.9183 | lr 2.96e-04 | 17568 ms | 0.00M tok/s
step     380 | loss 5.6880 | lr 2.96e-04 | 17556 ms | 0.00M tok/s
step     385 | loss 6.0582 | lr 2.95e-04 | 17514 ms | 0.00M tok/s
step     390 | loss 6.3055 | lr 2.95e-04 | 17579 ms | 0.00M tok/s
step     395 | loss 5.7132 | lr 2.95e-04 | 17542 ms | 0.00M tok/s
step     400 | loss 5.7420 | lr 2.95e-04 | 17545 ms | 0.00M tok/s
           eval | loss 5.1805
           best val 5.1805 → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000000400
step     405 | loss 5.8160 | lr 2.95e-04 | 20503 ms | 0.00M tok/s
step     410 | loss 5.7062 | lr 2.94e-04 | 17525 ms | 0.00M tok/s
step     415 | loss 5.7084 | lr 2.94e-04 | 17560 ms | 0.00M tok/s
step     420 | loss 5.6898 | lr 2.94e-04 | 17557 ms | 0.00M tok/s
step     425 | loss 5.5601 | lr 2.94e-04 | 17509 ms | 0.00M tok/s
step     430 | loss 5.4906 | lr 2.94e-04 | 17594 ms | 0.00M tok/s
step     435 | loss 5.8294 | lr 2.93e-04 | 17512 ms | 0.00M tok/s
step     440 | loss 5.7983 | lr 2.93e-04 | 17537 ms | 0.00M tok/s
step     445 | loss 5.5794 | lr 2.93e-04 | 17579 ms | 0.00M tok/s
step     450 | loss 5.7873 | lr 2.93e-04 | 17517 ms | 0.00M tok/s
step     455 | loss 5.7555 | lr 2.92e-04 | 17525 ms | 0.00M tok/s
step     460 | loss 5.5716 | lr 2.92e-04 | 17525 ms | 0.00M tok/s
step     465 | loss 5.6814 | lr 2.92e-04 | 17561 ms | 0.00M tok/s
step     470 | loss 5.7029 | lr 2.92e-04 | 17572 ms | 0.00M tok/s
step     475 | loss 5.5994 | lr 2.91e-04 | 17544 ms | 0.00M tok/s
step     480 | loss 5.7092 | lr 2.91e-04 | 17537 ms | 0.00M tok/s
step     485 | loss 5.6496 | lr 2.91e-04 | 17538 ms | 0.00M tok/s
step     490 | loss 5.5463 | lr 2.91e-04 | 17553 ms | 0.00M tok/s
step     495 | loss 5.3764 | lr 2.90e-04 | 17520 ms | 0.00M tok/s
step     500 | loss 5.6780 | lr 2.90e-04 | 17525 ms | 0.00M tok/s
[ckpt] saved → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000000500
           eval | loss 5.2045
step     505 | loss 5.7374 | lr 2.90e-04 | 20427 ms | 0.00M tok/s
step     510 | loss 5.5315 | lr 2.90e-04 | 17503 ms | 0.00M tok/s
step     515 | loss 5.6150 | lr 2.89e-04 | 17549 ms | 0.00M tok/s
step     520 | loss 5.3284 | lr 2.89e-04 | 17545 ms | 0.00M tok/s
step     525 | loss 5.5343 | lr 2.89e-04 | 17549 ms | 0.00M tok/s
step     530 | loss 5.4545 | lr 2.88e-04 | 17545 ms | 0.00M tok/s
step     535 | loss 5.7936 | lr 2.88e-04 | 17578 ms | 0.00M tok/s
step     540 | loss 5.9051 | lr 2.88e-04 | 17549 ms | 0.00M tok/s
step     545 | loss 5.7148 | lr 2.87e-04 | 17521 ms | 0.00M tok/s
step     550 | loss 5.5442 | lr 2.87e-04 | 17513 ms | 0.00M tok/s
step     555 | loss 5.4836 | lr 2.87e-04 | 17554 ms | 0.00M tok/s
step     560 | loss 5.1128 | lr 2.86e-04 | 17533 ms | 0.00M tok/s
step     565 | loss 5.4273 | lr 2.86e-04 | 17505 ms | 0.00M tok/s
step     570 | loss 5.3478 | lr 2.86e-04 | 17573 ms | 0.00M tok/s
step     575 | loss 5.4211 | lr 2.85e-04 | 17550 ms | 0.00M tok/s
step     580 | loss 5.6287 | lr 2.85e-04 | 17541 ms | 0.00M tok/s
step     585 | loss 5.3017 | lr 2.85e-04 | 17517 ms | 0.00M tok/s
step     590 | loss 5.7500 | lr 2.84e-04 | 17544 ms | 0.00M tok/s
step     595 | loss 5.4209 | lr 2.84e-04 | 17518 ms | 0.00M tok/s
step     600 | loss 5.3220 | lr 2.84e-04 | 17538 ms | 0.00M tok/s
           eval | loss 4.8464
           best val 4.8464 → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000000600
step     605 | loss 5.2669 | lr 2.83e-04 | 21410 ms | 0.00M tok/s
step     610 | loss 5.2554 | lr 2.83e-04 | 17465 ms | 0.00M tok/s
step     615 | loss 5.5261 | lr 2.83e-04 | 17520 ms | 0.00M tok/s
step     620 | loss 5.5610 | lr 2.82e-04 | 17544 ms | 0.00M tok/s
step     625 | loss 6.0589 | lr 2.82e-04 | 17515 ms | 0.00M tok/s
step     630 | loss 5.2395 | lr 2.82e-04 | 17489 ms | 0.00M tok/s
step     635 | loss 5.3713 | lr 2.81e-04 | 17496 ms | 0.00M tok/s
step     640 | loss 5.2356 | lr 2.81e-04 | 17509 ms | 0.00M tok/s
step     645 | loss 5.2137 | lr 2.80e-04 | 17552 ms | 0.00M tok/s
step     650 | loss 5.4069 | lr 2.80e-04 | 17512 ms | 0.00M tok/s
step     655 | loss 5.4694 | lr 2.80e-04 | 17480 ms | 0.00M tok/s
step     660 | loss 5.1826 | lr 2.79e-04 | 17518 ms | 0.00M tok/s
step     665 | loss 5.2841 | lr 2.79e-04 | 17489 ms | 0.00M tok/s
step     670 | loss 5.2542 | lr 2.78e-04 | 17500 ms | 0.00M tok/s
step     675 | loss 5.1557 | lr 2.78e-04 | 17484 ms | 0.00M tok/s
step     680 | loss 5.2107 | lr 2.78e-04 | 17497 ms | 0.00M tok/s
step     685 | loss 5.3852 | lr 2.77e-04 | 17499 ms | 0.00M tok/s
step     690 | loss 5.1884 | lr 2.77e-04 | 17489 ms | 0.00M tok/s
step     695 | loss 5.2322 | lr 2.76e-04 | 17522 ms | 0.00M tok/s
step     700 | loss 5.3093 | lr 2.76e-04 | 17493 ms | 0.00M tok/s
           eval | loss 4.8508
step     705 | loss 5.1960 | lr 2.76e-04 | 17589 ms | 0.00M tok/s
step     710 | loss 5.3530 | lr 2.75e-04 | 17504 ms | 0.00M tok/s
step     715 | loss 5.1738 | lr 2.75e-04 | 17522 ms | 0.00M tok/s
step     720 | loss 5.3664 | lr 2.74e-04 | 17504 ms | 0.00M tok/s
step     725 | loss 5.3382 | lr 2.74e-04 | 17503 ms | 0.00M tok/s
step     730 | loss 5.3773 | lr 2.73e-04 | 17503 ms | 0.00M tok/s
step     735 | loss 5.4305 | lr 2.73e-04 | 17502 ms | 0.00M tok/s
step     740 | loss 5.2693 | lr 2.72e-04 | 17500 ms | 0.00M tok/s
step     745 | loss 5.1530 | lr 2.72e-04 | 17499 ms | 0.00M tok/s
step     750 | loss 5.3001 | lr 2.72e-04 | 17496 ms | 0.00M tok/s
step     755 | loss 5.5268 | lr 2.71e-04 | 17503 ms | 0.00M tok/s
step     760 | loss 5.2772 | lr 2.71e-04 | 17505 ms | 0.00M tok/s
step     765 | loss 5.2342 | lr 2.70e-04 | 17483 ms | 0.00M tok/s
step     770 | loss 5.3666 | lr 2.70e-04 | 17495 ms | 0.00M tok/s
step     775 | loss 5.2359 | lr 2.69e-04 | 17474 ms | 0.00M tok/s
step     780 | loss 5.3494 | lr 2.69e-04 | 17495 ms | 0.00M tok/s
step     785 | loss 5.3954 | lr 2.68e-04 | 17503 ms | 0.00M tok/s
step     790 | loss 5.3158 | lr 2.68e-04 | 17527 ms | 0.00M tok/s
step     795 | loss 5.4580 | lr 2.67e-04 | 17548 ms | 0.00M tok/s
step     800 | loss 5.2923 | lr 2.67e-04 | 17527 ms | 0.00M tok/s
           eval | loss 5.3774
step     805 | loss 5.2890 | lr 2.66e-04 | 17540 ms | 0.00M tok/s
step     810 | loss 5.2154 | lr 2.66e-04 | 17542 ms | 0.00M tok/s
step     815 | loss 5.1304 | lr 2.65e-04 | 17464 ms | 0.00M tok/s
step     820 | loss 5.0906 | lr 2.65e-04 | 17496 ms | 0.00M tok/s
step     825 | loss 5.3600 | lr 2.64e-04 | 17475 ms | 0.00M tok/s
step     830 | loss 5.2008 | lr 2.64e-04 | 17473 ms | 0.00M tok/s
step     835 | loss 5.3077 | lr 2.63e-04 | 17496 ms | 0.00M tok/s
step     840 | loss 5.4354 | lr 2.63e-04 | 17520 ms | 0.00M tok/s
step     845 | loss 5.1969 | lr 2.62e-04 | 17456 ms | 0.00M tok/s
step     850 | loss 5.2323 | lr 2.62e-04 | 17502 ms | 0.00M tok/s
step     855 | loss 5.2257 | lr 2.61e-04 | 17526 ms | 0.00M tok/s
step     860 | loss 5.4229 | lr 2.61e-04 | 17560 ms | 0.00M tok/s
step     865 | loss 5.0773 | lr 2.60e-04 | 17533 ms | 0.00M tok/s
step     870 | loss 5.2030 | lr 2.60e-04 | 17514 ms | 0.00M tok/s
step     875 | loss 5.1717 | lr 2.59e-04 | 17483 ms | 0.00M tok/s
step     880 | loss 5.1390 | lr 2.59e-04 | 17495 ms | 0.00M tok/s
step     885 | loss 5.2072 | lr 2.58e-04 | 17491 ms | 0.00M tok/s
step     890 | loss 5.2101 | lr 2.58e-04 | 17540 ms | 0.00M tok/s
step     895 | loss 5.2020 | lr 2.57e-04 | 17538 ms | 0.00M tok/s
step     900 | loss 5.2107 | lr 2.56e-04 | 17600 ms | 0.00M tok/s
           eval | loss 5.1339
step     905 | loss 5.0646 | lr 2.56e-04 | 17641 ms | 0.00M tok/s
step     910 | loss 5.1081 | lr 2.55e-04 | 17534 ms | 0.00M tok/s
step     915 | loss 5.2803 | lr 2.55e-04 | 17582 ms | 0.00M tok/s
step     920 | loss 5.1820 | lr 2.54e-04 | 17588 ms | 0.00M tok/s
step     925 | loss 5.0302 | lr 2.54e-04 | 17524 ms | 0.00M tok/s
step     930 | loss 5.2093 | lr 2.53e-04 | 17521 ms | 0.00M tok/s
step     935 | loss 5.1341 | lr 2.53e-04 | 17529 ms | 0.00M tok/s
step     940 | loss 5.6072 | lr 2.52e-04 | 17499 ms | 0.00M tok/s
step     945 | loss 5.2311 | lr 2.51e-04 | 17488 ms | 0.00M tok/s
step     950 | loss 5.0663 | lr 2.51e-04 | 17490 ms | 0.00M tok/s
step     955 | loss 5.0359 | lr 2.50e-04 | 17494 ms | 0.00M tok/s
step     960 | loss 5.1533 | lr 2.50e-04 | 17486 ms | 0.00M tok/s
step     965 | loss 5.1151 | lr 2.49e-04 | 17481 ms | 0.00M tok/s
step     970 | loss 4.8283 | lr 2.49e-04 | 17519 ms | 0.00M tok/s
step     975 | loss 5.2644 | lr 2.48e-04 | 17561 ms | 0.00M tok/s
step     980 | loss 5.1543 | lr 2.47e-04 | 17504 ms | 0.00M tok/s
step     985 | loss 4.9583 | lr 2.47e-04 | 17549 ms | 0.00M tok/s
step     990 | loss 5.0690 | lr 2.46e-04 | 17489 ms | 0.00M tok/s
step     995 | loss 4.8617 | lr 2.46e-04 | 17555 ms | 0.00M tok/s
step    1000 | loss 5.0306 | lr 2.45e-04 | 17513 ms | 0.00M tok/s
[ckpt] saved → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000001000
           eval | loss 4.8203
/home/support/dev-macrohard/LLM-playground/distgpt/.venv-pascal/lib/python3.12/site-packages/torch/distributed/checkpoint/filesystem.py:490: UserWarning: Detected an existing checkpoint in out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000001000/.metadata, overwriting since self.overwrite=True. Past version 2.5 of PyTorch, `overwrite` will default to False. Set this variable to True to maintain this functionality or False to raise when an existing checkpoint is found.
  warnings.warn(
           best val 4.8203 → out/gpt_416m_fweb_p100/gpt_416m_fweb_p100/ckpts/step_000001000
step    1005 | loss 5.3041 | lr 2.44e-04 | 23982 ms | 0.00M tok/s
step    1010 | loss 5.1602 | lr 2.44e-04 | 17291 ms | 0.00M tok/s
step    1015 | loss 5.2165 | lr 2.43e-04 | 17442 ms | 0.00M tok/s
step    1020 | loss 4.8954 | lr 2.43e-04 | 17472 ms | 0.00M tok/s
step    1025 | loss 4.9472 | lr 2.42e-04 | 17500 ms | 0.00M tok/s
step    1030 | loss 4.9308 | lr 2.41e-04 | 17458 ms | 0.00M tok/s
step    1035 | loss 5.3999 | lr 2.41e-04 | 17508 ms | 0.00M tok/s
step    1040 | loss 4.9416 | lr 2.40e-04 | 17529 ms | 0.00M tok/s
step    1045 | loss 5.2853 | lr 2.39e-04 | 17473 ms | 0.00M tok/s
step    1050 | loss 4.7781 | lr 2.39e-04 | 17534 ms | 0.00M tok/s
step    1055 | loss 4.9535 | lr 2.38e-04 | 17595 ms | 0.00M tok/s
step    1060 | loss 5.0751 | lr 2.38e-04 | 17594 ms | 0.00M tok/s
step    1065 | loss 5.1217 | lr 2.37e-04 | 17588 ms | 0.00M tok/s
step    1070 | loss 5.0467 | lr 2.36e-04 | 17639 ms | 0.00M tok/s
step    1075 | loss 5.1200 | lr 2.36e-04 | 17673 ms | 0.00M tok/s
step    1080 | loss 5.1001 | lr 2.35e-04 | 17610 ms | 0.00M tok/s
step    1085 | loss 4.9993 | lr 2.34e-04 | 17626 ms | 0.00M tok/s
step    1090 | loss 4.9271 | lr 2.34e-04 | 17591 ms | 0.00M tok/s
